time;gFx;gFy;gFz;TgF
0,003034;-0,0648;0,1569;1,0266;1,041
0,003481;-0,0649;0,1573;1,0352;1,049
0,004452;-0,0612;0,1565;1,0380;1,051
0,010932;-0,0883;0,1505;1,0353;1,050
0,014261;-0,0758;0,1535;1,0248;1,039
0,017737;-0,0501;0,1557;1,0054;1,019
0,020444;-0,0349;0,1545;0,9818;0,994
0,023983;-0,0290;0,1505;0,9653;0,977
0,037810;-0,0248;0,1433;0,9548;0,966
0,038367;-0,0183;0,1365;0,9487;0,959
0,038512;-0,0132;0,1319;0,9479;0,957
0,039901;-0,0097;0,1264;0,9493;0,958
0,044022;-0,0092;0,1250;0,9531;0,961
0,047781;-0,0152;0,1258;0,9538;0,962
0,051693;-0,0252;0,1259;0,9532;0,962
0,055864;-0,0333;0,1252;0,9469;0,956
0,070721;-0,0372;0,1280;0,9347;0,944
0,071301;-0,0350;0,1315;0,9304;0,940
0,071439;-0,0375;0,1310;0,9360;0,946
0,071559;-0,0448;0,1261;0,9542;0,964
0,076566;-0,0554;0,1234;0,9701;0,979
0,079742;-0,0624;0,1256;0,9826;0,993
0,083661;-0,0597;0,1286;0,9848;0,995
0,087739;-0,0549;0,1309;0,9802;0,990
0,094060;-0,0466;0,1335;0,9743;0,985
0,095255;-0,0385;0,1318;0,9700;0,980
0,099139;-0,0337;0,1290;0,9668;0,976
0,103380;-0,0309;0,1254;0,9611;0,970
0,107247;-0,0291;0,1228;0,9617;0,970
0,111885;-0,0282;0,1189;0,9665;0,974
0,115266;-0,0276;0,1174;0,9719;0,979
0,119131;-0,0271;0,1174;0,9767;0,984
0,123173;-0,0299;0,1184;0,9786;0,986
0,127506;-0,0326;0,1174;0,9792;0,987
0,132032;-0,0380;0,1165;0,9793;0,987
0,135279;-0,0388;0,1177;0,9812;0,989
0,139254;-0,0355;0,1191;0,9827;0,991
0,143316;-0,0340;0,1197;0,9834;0,991
0,147342;-0,0310;0,1190;0,9843;0,992
0,151212;-0,0291;0,1169;0,9804;0,988
0,155047;-0,0256;0,1177;0,9806;0,988
0,159368;-0,0227;0,1159;0,9794;0,987
0,162995;-0,0236;0,1131;0,9821;0,989
0,166777;-0,0279;0,1085;0,9859;0,992
0,172982;-0,0367;0,1039;0,9878;0,994
0,187878;-0,0440;0,1023;0,9864;0,993
0,188499;-0,0482;0,1013;0,9825;0,989
0,188659;-0,0384;0,1088;0,9771;0,984
0,188800;-0,0191;0,1208;0,9731;0,981
0,192708;-0,0135;0,1250;0,9730;0,981
0,195722;-0,0186;0,1221;0,9792;0,987
0,199142;-0,0256;0,1210;0,9904;0,998
0,204869;-0,0266;0,1214;0,9979;1,006
0,206376;-0,0320;0,1183;1,0011;1,009
0,210793;-0,0344;0,1184;0,9973;1,005
0,214506;-0,0399;0,1190;0,9949;1,003
