time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,004854;0,3019;-0,3456;-0,8678;0,982
0,006038;0,1315;-0,3675;-0,6910;0,794
0,011801;0,0067;-0,3158;-0,4661;0,563
0,025902;0,0562;-0,2613;-0,2025;0,335
0,029112;0,1667;-0,1674;-0,3016;0,383
0,042532;0,0711;-0,2297;0,0795;0,253
0,056789;-0,0230;-0,1174;0,5003;0,514
0,075411;-0,0276;-0,0885;0,3532;0,365
0,076306;0,2642;-0,1220;0,1185;0,314
0,077754;0,5103;-0,1464;-0,1454;0,550
0,090393;0,4472;-0,2571;-0,3312;0,613
0,104418;0,1892;-0,1787;-0,2525;0,363
0,108278;0,0671;-0,0775;-0,2627;0,282
0,122832;-0,0662;-0,0625;-0,2046;0,224
0,127973;-0,1429;0,0225;0,0394;0,150
0,137570;-0,3287;0,0872;0,0287;0,341
0,150843;-0,5728;0,2801;-0,0605;0,640
0,158533;-0,0424;0,2774;0,1737;0,330
0,167448;0,2301;0,0877;0,3295;0,411
0,177169;0,2601;0,0337;0,2993;0,398
0,186975;0,1556;-0,0912;0,2010;0,270
0,216665;0,1801;-0,1296;0,0245;0,223
0,218721;0,1467;-0,2566;-0,1323;0,324
0,219317;0,3006;-0,2849;-0,1224;0,432
0,236510;0,4441;-0,3320;-0,1912;0,587
0,238050;0,3423;-0,3476;-0,1524;0,511
0,249763;0,2098;-0,2842;-0,0549;0,357
0,257814;0,0569;-0,1515;-0,2517;0,299
0,268696;-0,4217;-0,0480;-0,4585;0,625
0,277475;-0,0509;0,0406;-0,0286;0,071
0,287317;-0,1109;-0,0469;-0,0695;0,139
0,297734;0,1213;-0,0875;0,0369;0,154
0,306012;0,1968;-0,0398;-0,1115;0,230
0,315957;0,0891;-0,2666;-0,1127;0,303
0,326296;0,0316;0,0740;0,1509;0,171
0,346789;0,2991;-0,1552;-0,0362;0,339
0,347927;-0,0491;-0,1787;-0,1251;0,224
0,365885;0,2495;-0,0356;-0,0670;0,261
0,367350;0,0858;-0,2167;-0,2050;0,310
0,377854;0,0963;-0,1811;-0,2549;0,327
0,385669;0,2210;-0,1318;-0,2074;0,330
0,398273;0,2369;-0,1708;-0,2678;0,396
0,405730;0,1821;-0,2165;-0,3091;0,419
0,415703;0,1150;-0,2295;-0,0567;0,263
0,425320;0,1357;-0,2105;0,1854;0,312
0,436201;0,1475;-0,2003;0,4865;0,546
0,447724;0,1234;-0,1562;0,5138;0,551
0,456645;0,1011;-0,1469;0,4928;0,524
0,465752;0,1584;-0,1231;0,4824;0,522
0,475262;0,1102;-0,0444;0,2961;0,319
0,488833;0,0627;-0,0752;0,1590;0,187
0,495636;0,0363;0,0099;0,0026;0,038
0,506016;0,0687;-0,0128;-0,0949;0,118
0,515755;0,0901;-0,0256;-0,1925;0,214
0,524560;0,0315;-0,0563;-0,0550;0,085
0,535407;0,0417;-0,0868;0,0431;0,106
