time,ax,ay,az,atotal
0.007720947265625,-0.24,0.03,-0.18,0.3
0.014600992202758789,-0.13,0.03,-0.28,0.31
0.02549004554748535,-0.06,-0.07,-0.02,0.09
0.03489804267883301,-0.03,-0.06,0.01,0.06
0.055082082748413086,-0.06,-0.09,-0.01,0.1
0.056649208068847656,-0.11,-0.1,-0.04,0.15
0.06445598602294922,-0.06,-0.02,-0.03,0.06
0.07486605644226074,0.01,0.01,-0.01,0.01
0.08470392227172852,-0.01,-0.04,-0.04,0.05
0.09494400024414062,0.04,0.0,-0.04,0.05
0.10472702980041504,0.04,-0.05,-0.04,0.07
0.11498689651489258,-0.03,-0.04,-0.07,0.08
0.12570405006408691,-0.07,0.0,-0.08,0.1
0.13550901412963867,-0.09,0.0,-0.01,0.09
0.15991687774658203,-0.11,0.08,0.02,0.13
0.1617450714111328,-0.1,0.07,-0.04,0.12
0.1641521453857422,-0.02,0.04,-0.07,0.08
0.17776107788085938,0.02,-0.03,-0.09,0.09
0.1847848892211914,0.03,-0.04,-0.04,0.06
0.19491004943847656,-0.03,-0.02,0.01,0.03
0.2039051055908203,-0.03,-0.02,0.01,0.03
0.21484708786010742,-0.02,-0.03,-0.01,0.03
0.2248978614807129,-0.08,-0.02,-0.01,0.08
0.23461294174194336,-0.1,-0.04,0.0,0.1
0.26068902015686035,-0.1,-0.07,-0.07,0.14
0.26246213912963867,-0.06,-0.12,-0.08,0.15
0.26381587982177734,0.05,-0.04,0.03,0.07
0.27777814865112305,0.03,-0.05,-0.01,0.05
0.28373193740844727,0.01,-0.08,-0.04,0.09
0.2941160202026367,-0.02,-0.07,-0.09,0.11
0.30371809005737305,-0.05,-0.04,-0.09,0.11
0.31400394439697266,-0.08,-0.04,-0.09,0.12
0.3248629570007324,-0.08,-0.04,-0.07,0.11
0.3347010612487793,0.0,-0.04,0.01,0.04
0.3598051071166992,0.05,-0.07,0.05,0.09
0.36149120330810547,0.06,-0.07,0.03,0.09
0.3631160259246826,0.03,-0.02,0.02,0.04
0.3770730495452881,0.01,-0.01,-0.01,0.01
0.38336706161499023,-0.01,0.0,0.0,0.01
0.39368295669555664,0.0,-0.03,0.02,0.03
0.40361785888671875,-0.04,-0.06,0.01,0.07
0.41361308097839355,-0.04,-0.05,-0.02,0.06
0.42452192306518555,-0.07,-0.08,0.0,0.1
0.4342470169067383,-0.05,-0.11,0.06,0.13
0.4607100486755371,-0.07,-0.09,0.04,0.12
0.4627399444580078,-0.06,-0.06,0.03,0.09
0.4645230770111084,-0.04,-0.07,0.01,0.08
0.4772000312805176,-0.03,-0.03,-0.02,0.04
0.48280906677246094,-0.01,0.02,-0.09,0.09
0.49309802055358887,0.01,0.02,-0.08,0.08
0.5029799938201904,0.01,0.03,-0.04,0.05
0.513375997543335,0.01,-0.02,-0.01,0.02
0.5239319801330566,0.03,-0.05,0.03,0.06
0.5332779884338379,-0.01,-0.05,0.06,0.07
0.5608339309692383,-0.1,-0.05,0.05,0.12
0.5627231597900391,-0.05,-0.05,0.04,0.08
0.5640699863433838,0.01,-0.04,0.03,0.05
0.5766270160675049,-0.07,0.01,-0.04,0.08
0.5828089714050293,-0.13,0.04,-0.1,0.16
0.592893123626709,-0.05,0.06,-0.04,0.08
0.6025190353393555,-0.01,0.08,0.0,0.08
0.6125600337982178,0.02,0.06,0.0,0.06
0.6230990886688232,0.01,0.02,0.01,0.02
0.6328110694885254,0.01,0.0,0.03,0.03
0.6607499122619629,0.01,0.03,0.05,0.05
0.6623940467834473,-0.09,0.03,-0.02,0.09
0.6634979248046875,-0.13,0.02,-0.07,0.14
0.6767911911010742,-0.1,-0.01,-0.03,0.1
0.6823070049285889,-0.03,-0.02,0.01,0.03
0.6928548812866211,-0.01,0.0,0.01,0.01
0.7023329734802246,0.02,0.01,-0.02,0.03
0.712799072265625,0.03,-0.02,-0.04,0.05
0.7226929664611816,-0.01,-0.03,-0.05,0.05
0.7332181930541992,-0.09,0.0,-0.05,0.1
0.757997989654541,-0.09,0.03,-0.01,0.09
0.7597270011901855,-0.03,-0.01,0.06,0.06
0.7614541053771973,0.02,-0.07,0.03,0.07
0.7773151397705078,0.01,-0.1,-0.07,0.12
0.7819280624389648,-0.03,-0.14,-0.11,0.18
0.7941598892211914,-0.02,-0.09,-0.05,0.1
0.8016910552978516,-0.01,-0.04,0.03,0.05
0.8119690418243408,-0.05,0.01,0.01,0.05
0.8221969604492188,-0.06,0.03,0.05,0.08
0.8322701454162598,0.0,0.06,0.04,0.07
0.8571240901947021,-0.02,-0.01,-0.15,0.15
0.8589000701904297,-0.03,-0.13,-0.07,0.15
0.8611540794372559,0.02,-0.02,0.04,0.04
0.8771438598632812,-0.02,-0.12,-0.08,0.14
0.8812451362609863,-0.02,-0.18,-0.04,0.18
0.8933930397033691,0.08,-0.06,0.11,0.14
0.9015030860900879,0.03,-0.09,0.03,0.09
0.9114341735839844,-0.02,-0.15,-0.06,0.16
0.9211599826812744,-0.05,-0.12,-0.08,0.15
0.9313130378723145,-0.04,-0.09,-0.01,0.09
0.9509449005126953,0.13,-0.06,0.09,0.16
0.9529938697814941,0.14,-0.07,0.13,0.2
0.9609251022338867,-0.05,-0.08,0.12,0.15
0.9706501960754395,-0.15,-0.04,0.09,0.17
0.9811611175537109,-0.18,-0.01,0.05,0.18
0.9909071922302246,-0.11,0.0,-0.03,0.11
1.0006718635559082,-0.03,-0.12,-0.05,0.13
1.0107421875,0.11,-0.1,0.03,0.15
1.0206918716430664,0.01,-0.11,0.0,0.11
1.03084397315979,-0.06,-0.14,-0.04,0.15
1.0511369705200195,-0.05,-0.09,0.07,0.12
1.053269863128662,-0.11,-0.08,0.09,0.16
1.0604050159454346,-0.01,-0.13,0.12,0.17
1.07041597366333,0.08,-0.15,0.08,0.18
1.0806341171264648,0.03,-0.18,0.02,0.18
1.0906200408935547,-0.04,-0.11,0.04,0.12
1.1004571914672852,-0.03,-0.04,0.09,0.1
1.110234022140503,0.0,-0.01,0.09,0.09
1.1202290058135986,0.01,0.01,0.1,0.1
1.130241870880127,-0.05,0.01,0.09,0.1
1.150413990020752,-0.13,0.0,0.02,0.13
1.15252685546875,-0.08,-0.02,0.03,0.08
1.1601319313049316,-0.04,0.01,0.1,0.1
1.1694979667663574,-0.06,-0.07,0.07,0.11
1.1810290813446045,0.03,-0.12,0.11,0.16
1.1896581649780273,0.04,-0.13,0.17,0.21
1.200571060180664,-0.02,-0.13,0.12,0.17
1.2111501693725586,-0.06,-0.14,0.03,0.15
1.2213201522827148,-0.07,-0.05,0.03,0.09
1.2311501502990723,-0.04,0.03,0.07,0.08
