time,ax,ay,az,atotal,Resultante
0.019622087,-0.29,-0.06,-0.3,0.42,0.376696164
0.021321058,-0.36,-0.05,-0.67,0.76,0.57497826
0.022542,-0.2,-0.1,-0.12,0.25,0.251992063
0.02741909,-0.17,-0.09,0.13,0.23,0.222036033
0.044200897,0.04,-0.15,0.09,0.17,0.096953597
0.047576904,0.07,-0.24,0.07,0.25,0.112249722
0.058893204,0.05,-0.23,-0.04,0.23,0.190262976
0.067363024,0,-0.07,-0.13,0.14,0.223383079
0.077970028,-0.03,0.14,-0.06,0.15,0.083066239
0.087440014,-0.01,0.18,0.01,0.18,0.130766968
0.113327026,0.06,0.07,0.02,0.09,0.075498344
0.114602089,0.04,0,0.04,0.05,0.092195445
0.116827011,-0.03,0.06,0.04,0.07,0.059160798
0.127343178,-0.06,0.01,0.05,0.07,0.078102497
0.13766098,0,-0.03,0.02,0.03,0.053851648
0.147639036,0.02,0,-0.02,0.02,0.070710678
0.157810211,-0.02,0.05,0.01,0.05,0.031622777
0.167232037,-0.05,0.05,0,0.07,0.046904158
0.177638054,-0.03,0.02,0.03,0.04,0.041231056
0.187283039,-0.04,0.02,0.07,0.08,0.07
0.218512058,-0.01,0.04,0.01,0.04,0.204694895
0.220444202,-0.04,-0.07,-0.16,0.17,0.064031242
0.22171998,-0.01,-0.11,-0.12,0.16,0.358189894
0.226480007,0.08,0.08,0.17,0.2,0.076811457
0.236320972,0.01,0.05,0.18,0.18,0.211896201
0.247000217,-0.03,-0.07,0.01,0.07,0.102469508
0.257058144,-0.07,-0.12,-0.07,0.15,0.042426407
0.267399073,-0.04,-0.09,-0.07,0.12,0.13453624
0.277257919,-0.03,-0.03,0.05,0.06,0.066332496
0.286635876,-0.01,0.03,0.07,0.07,0.04472136
0.313760996,0.01,0.03,0.03,0.04,0.082462113
0.315433979,-0.01,0.03,-0.05,0.05,0.037416574
0.31656909,-0.02,0.06,-0.03,0.06,0.063245553
0.328240871,-0.04,0.06,0.03,0.07,0.06164414
0.336604118,-0.06,0.01,0,0.06,0.058309519
0.346567154,-0.03,-0.04,0,0.05,0.06
0.356637001,-0.05,-0.08,-0.04,0.1,0.02236068
0.366049051,-0.05,-0.09,-0.02,0.1,0.01
0.376416206,-0.05,-0.09,-0.01,0.1,0.033166248
0.386394978,-0.06,-0.1,-0.04,0.12,0.03
0.414691925,-0.05,-0.12,-0.02,0.13,0.070710678
0.416376114,-0.01,-0.07,0.01,0.07,0.037416574
0.417598009,0.01,-0.04,0.02,0.04,0.071414284
0.425601006,-0.04,-0.03,-0.03,0.05,0.042426407
0.436211109,-0.05,-0.02,-0.07,0.08,0.046904158
0.446346998,-0.02,0,-0.04,0.04,0.04472136
0.455918074,-0.02,0.02,0,0.02,0.033166248
0.466462135,-0.05,0.03,-0.01,0.05,0.064031242
0.476098061,-0.02,-0.01,-0.05,0.05,0.06164414
0.486104012,0.01,-0.03,0,0.03,0.059160798
0.513926029,-0.04,-0.02,0.03,0.05,0.041231056
0.51541996,-0.05,-0.06,0.03,0.08,0.053851648
0.516425133,-0.01,-0.09,0.01,0.09,0.054772256
0.529456139,-0.06,-0.07,0,0.09,0.072111026
0.535379887,-0.1,-0.07,-0.06,0.13,0.037416574
0.545798063,-0.07,-0.05,-0.07,0.11,0.098994949
0.555877209,-0.04,0.03,-0.02,0.05,0.024494897
0.565670013,-0.05,0.02,-0.04,0.06,0.031622777
0.575887203,-0.06,-0.01,-0.04,0.07,0.014142136
0.585453987,-0.05,-0.02,-0.04,0.06,0.037416574
0.615204096,-0.07,0.01,-0.05,0.08,0.037416574
0.616657019,-0.1,0.02,-0.03,0.1,0.076157731
0.618247986,-0.03,0.02,0,0.03,0.05
0.6253829,-0.03,-0.03,0,0.04,0.01
0.635274887,-0.04,-0.03,0,0.05,0.046904158
0.645151138,-0.02,-0.06,0.03,0.06,0.028284271
0.656116009,-0.04,-0.08,0.03,0.09,0.036055513
0.665037155,-0.02,-0.08,0,0.08,0.046904158
0.675706863,0.01,-0.05,-0.02,0.05,0.031622777
0.684997082,0.02,-0.05,-0.05,0.07,0.045825757
0.719693184,0.01,-0.03,-0.09,0.09,0.034641016
0.721568108,-0.01,-0.01,-0.07,0.07,0.036055513
0.723080158,-0.01,0.02,-0.09,0.09,0.034641016
0.72466898,-0.03,0,-0.07,0.07,0.03
0.744202137,-0.01,-0.01,-0.05,0.05,0.063245553
0.745800018,-0.01,-0.03,0.01,0.03,0.070710678
0.758738041,0.03,-0.06,0.06,0.09,0.014142136
0.764194965,0.03,-0.07,0.05,0.09,0.057445626
0.775918007,0.01,-0.05,0,0.05,0.074833148
0.78521204,-0.03,-0.07,-0.06,0.09,0.036055513
0.81338501,-0.03,-0.05,-0.09,0.1,0.053851648
0.815150023,0.01,-0.02,-0.11,0.11,0.02236068
0.816282034,0.02,-0.04,-0.11,0.11,0.064031242
0.826973915,0.04,-0.05,-0.05,0.08,0.042426407
0.833891869,0.03,-0.04,-0.01,0.05,0.045825757
0.844527006,0.04,-0.02,0.03,0.05,0.057445626
0.854537964,0.02,0,-0.02,0.02,0.072801099
0.864513874,-0.04,-0.01,-0.06,0.07,0.053851648
0.875016212,-0.02,0.02,-0.02,0.03,0.059160798
0.884176016,0.03,0.01,0.01,0.03,0.06164414
0.919229031,0.06,-0.04,0.03,0.07,0.045825757
0.921108007,0.02,-0.06,0.02,0.06,0.115758369
0.922535896,0,-0.09,-0.09,0.12,0.188944436
0.925817966,-0.01,-0.19,-0.25,0.31,0.179164729
0.942571163,0.03,-0.12,-0.09,0.15,0.207364414
0.944324017,0.09,0.03,0.04,0.1,0.050990195
0.95855999,0.05,0,0.05,0.07,0.014142136
0.963557005,0.06,0,0.04,0.07,0.096436508
0.975935936,-0.02,0.02,-0.01,0.03,0.053851648
0.984210968,-0.04,0.02,-0.06,0.07,0.04472136
1.01205802,-0.04,0.04,-0.02,0.06,0.064031242
1.013605118,0,0.01,0.02,0.02,0.124498996
1.014719963,0.09,-0.06,-0.03,0.11,0.02
1.026721001,0.11,-0.06,-0.03,0.12,0.112249722
1.033438206,0.02,0,0,0.02,0.09797959
1.04344511,-0.06,0.04,-0.04,0.08,0.053851648
1.053242207,-0.08,0,-0.07,0.1,0.053851648
1.063389063,-0.03,0,-0.09,0.09,0.045825757
1.073476076,0.01,0.02,-0.08,0.08,0.059160798
1.083404064,0.04,0.07,-0.07,0.1,0.058309519
1.110672951,0.01,0.1,-0.03,0.1,0.041231056
1.112066984,-0.01,0.13,-0.05,0.13,0.037416574
1.113342047,0.01,0.12,-0.02,0.12,0.033166248
1.129210949,0,0.09,-0.01,0.09,0.067082039
1.132580996,-0.03,0.03,-0.01,0.04,0.028284271
1.14428997,-0.03,0.01,0.01,0.03,0.037416574
1.152780056,-0.05,-0.02,0.02,0.05,0.03
1.16363287,-0.03,-0.04,0.01,0.05,0.036055513
1.173091888,-0.03,-0.06,-0.02,0.06,0.02
1.182727098,-0.01,-0.06,-0.02,0.06,0.028284271
